Aberr	-	"To wander; to stray"
Aberuncate	-	"To weed out."
Abider	-	"One who dwells; a resident."
Abirritate	-	To diminish the sensibility of; to debilitate.
Aboriginal	-	First; original; indigenous; primitive; native; as, the aboriginal tribes of America.
Aboriginal	-	Of or pertaining to aborigines; as, a Hindoo of aboriginal blood.
Aboriginal	-	An original inhabitant of any land; one of the aborigines.
Aboriginal	-	An animal or a plant native to the region.
Absence	-	A state of being absent or withdrawn from a place or from companionship; -- opposed to presence.
Absence	-	Want; destitution; withdrawal.
Absence	-	Inattention to things present; abstraction (of mind); as, absence of mind.
Absent	-	Being away from a place; withdrawn from a place; not present.
Absent	-	Not existing; lacking; as, the part was rudimental or absent.
Absent	-	Inattentive to what is passing; absent-minded; preoccupied; as, an absent air.
